epoch,accuracy,loss,val_accuracy,val_loss
0,0.5134580135345459,5.950362682342529,0.47707051038742065,0.9016291499137878
1,0.48996350169181824,1.5345816612243652,0.4976043701171875,0.8295877575874329
2,0.5118613243103027,0.9217042326927185,0.5639972686767578,0.809678852558136
3,0.5253193378448486,0.8246511816978455,0.5592060089111328,0.8030902147293091
4,0.5351277589797974,0.8077451586723328,0.5698152184486389,0.7995568513870239
5,0.53125,0.8022010326385498,0.563312828540802,0.7947925329208374
6,0.5504105687141418,0.7963815331459045,0.6187542676925659,0.7871676087379456
7,0.5611313581466675,0.7909363508224487,0.5958247780799866,0.7813366651535034
8,0.538093090057373,0.7903649806976318,0.6013004779815674,0.7800585627555847
9,0.5399178862571716,0.7881001830101013,0.6136208176612854,0.7827584743499756
10,0.5611313581466675,0.7832291126251221,0.6016427278518677,0.7784970998764038
11,0.5501824617385864,0.7800737619400024,0.6078028678894043,0.7783721089363098
12,0.5625,0.7780172824859619,0.6009582281112671,0.7706485390663147
13,0.5522354245185852,0.774907112121582,0.5694729685783386,0.7780235409736633
14,0.5549726486206055,0.7726009488105774,0.6033538579940796,0.7589279413223267
15,0.5755017995834351,0.7682768702507019,0.6310746073722839,0.7564574480056763
16,0.5736770033836365,0.76744145154953,0.5869267582893372,0.7579123377799988
17,0.5846258997917175,0.7661828398704529,0.663244366645813,0.7495447397232056
18,0.5786952376365662,0.7615177631378174,0.6492128968238831,0.7479915618896484
19,0.5926094651222229,0.7582249045372009,0.650924026966095,0.7524915337562561
20,0.5923813581466675,0.7556535005569458,0.6642710566520691,0.7497371435165405
21,0.5914689898490906,0.7589825987815857,0.6718001365661621,0.7382482290267944
22,0.6044707894325256,0.7527207136154175,0.675564706325531,0.7391906380653381
23,0.6051551103591919,0.7459076642990112,0.6964408159255981,0.7319730520248413
24,0.6154196858406067,0.7441362142562866,0.64613276720047,0.7360057234764099
25,0.6211222410202026,0.7339271306991577,0.6947296261787415,0.7080217003822327
26,0.6167883276939392,0.7415733337402344,0.7227926254272461,0.714813232421875
27,0.6414233446121216,0.7302373051643372,0.7166324257850647,0.6992468237876892
28,0.6208941340446472,0.731286346912384,0.701916515827179,0.7018015384674072
29,0.6512317657470703,0.7194864749908447,0.71218341588974,0.6813502907752991
30,0.6500912308692932,0.7147533893585205,0.7279260754585266,0.6876077651977539
